scenario,date,origin,destination,ready,feasible,reason,out_trip,out_route,out_board_stop,out_board_sequence,out_departure,out_alight_stop,out_alight_sequence,out_arrival,shopping_start,shopping_end,back_trip,back_route,back_board_stop,back_board_sequence,back_departure,back_alight_stop,back_alight_sequence,back_arrival,origin_return,elapsed_minutes,initial_wait_minutes,store_open_wait_minutes,return_wait_minutes,bus_minutes,within_budget
shopping_60,2026-09-15,下庄小学校,kajiso_libre,10:00:00,True,,1+1+平日+3,1,9_1,9,11:11:00,21_1,21,11:28:00,11:33:00,12:33:00,2+0+平日+4,2,21_2,28,13:54:00,9_2,40,14:09:00,14:11:00,251.0,69.0,0.0,76.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,10:30:00,True,,1+1+平日+3,1,9_1,9,11:11:00,21_1,21,11:28:00,11:33:00,12:33:00,2+0+平日+4,2,21_2,28,13:54:00,9_2,40,14:09:00,14:11:00,221.0,39.0,0.0,76.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,11:00:00,True,,1+1+平日+3,1,9_1,9,11:11:00,21_1,21,11:28:00,11:33:00,12:33:00,2+0+平日+4,2,21_2,28,13:54:00,9_2,40,14:09:00,14:11:00,191.0,9.0,0.0,76.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,11:30:00,True,,1+1+毎日+4,1,9_1,9,13:15:00,21_1,21,13:32:00,13:37:00,14:37:00,2+0+毎日+5,2,21_2,28,16:08:00,9_2,40,16:23:00,16:25:00,295.0,103.0,0.0,86.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,12:00:00,True,,1+1+毎日+4,1,9_1,9,13:15:00,21_1,21,13:32:00,13:37:00,14:37:00,2+0+毎日+5,2,21_2,28,16:08:00,9_2,40,16:23:00,16:25:00,265.0,73.0,0.0,86.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,12:30:00,True,,1+1+毎日+4,1,9_1,9,13:15:00,21_1,21,13:32:00,13:37:00,14:37:00,2+0+毎日+5,2,21_2,28,16:08:00,9_2,40,16:23:00,16:25:00,235.0,43.0,0.0,86.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,13:00:00,True,,1+1+毎日+4,1,9_1,9,13:15:00,21_1,21,13:32:00,13:37:00,14:37:00,2+0+毎日+5,2,21_2,28,16:08:00,9_2,40,16:23:00,16:25:00,205.0,13.0,0.0,86.0,32.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,13:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,14:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,14:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,15:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,15:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,下庄小学校,kajiso_libre,16:00:00,False,no_outbound_bus,,,,,,,,,,,,,,,,,,,,,,,,,False
shopping_60,2026-09-15,下庄小学校,kajiso_vio,08:00:00,True,,1+1+毎日+2,1,9_1,9,09:33:00,25_0,32,10:13:00,10:18:00,11:18:00,2+0+平日+4,2,25_0,17,13:23:00,9_2,40,14:09:00,14:11:00,371.0,91.0,0.0,120.0,86.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_vio,08:30:00,True,,1+1+毎日+2,1,9_1,9,09:33:00,25_0,32,10:13:00,10:18:00,11:18:00,2+0+平日+4,2,25_0,17,13:23:00,9_2,40,14:09:00,14:11:00,341.0,61.0,0.0,120.0,86.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_vio,09:00:00,True,,1+1+毎日+2,1,9_1,9,09:33:00,25_0,32,10:13:00,10:18:00,11:18:00,2+0+平日+4,2,25_0,17,13:23:00,9_2,40,14:09:00,14:11:00,311.0,31.0,0.0,120.0,86.0,False
shopping_60,2026-09-15,下庄小学校,kajiso_vio,09:30:00,True,,1+1+平日+3,1,9_1,9,11:11:00,25_0,32,11:56:00,12:01:00,13:01:00,2+0+平日+4,2,25_0,17,13:23:00,9_2,40,14:09:00,14:11:00,281.0,99.0,0.0,17.0,91.0,False
