specification,hagibis_mask,placebo_code,pre_rmspe,opening_gap_log,late_gap_log
pre_50_months_hagibis_recovery,recovery,29,0.23684391335519372,0.008358605823496568,0.06555865441886374
pre_50_months_hagibis_recovery,recovery,30,0.09725498444040305,-0.02326782788212789,0.0065962750309963725
pre_50_months_hagibis_recovery,recovery,31,0.09417538427855443,-0.18624052373694422,-0.06529062419277919
pre_50_months_hagibis_recovery,recovery,32,0.07071020574883458,0.12108028670509619,0.008397975155554875
pre_50_months_hagibis_recovery,recovery,35,0.06092974290647768,0.01409020672219441,-0.23799565713254012
pre_50_months_hagibis_recovery,recovery,36,0.19052317314229672,-0.12692527808357834,-0.1409432445064359
pre_50_months_hagibis_recovery,recovery,37,0.061004451707610596,0.09884140897395355,0.09213698651609192
pre_50_months_hagibis_recovery,recovery,39,0.09075799597840732,-0.19239743047357827,-0.15802929456571466
pre_50_months_hagibis_recovery,recovery,40,0.04145131827684438,-0.08646945692705721,-0.014868157512530138
pre_50_months_hagibis_recovery,recovery,41,0.10419017174056154,0.10418730506697216,-0.0564051585565734
pre_50_months_hagibis_recovery,recovery,42,0.06525840682206774,0.11853066044997096,-0.11684793231642192
pre_50_months_hagibis_recovery,recovery,44,0.08119361197742793,0.08589374573189534,0.06773968224041135
pre_50_months_hagibis_recovery,recovery,45,0.11748152194283079,-0.10548668883334766,0.011504428612141737
pre_50_months_hagibis_recovery,recovery,46,0.0475743441744438,-0.07465175642691513,0.044033311174178635
pre_50_months_hagibis_recovery,recovery,47,0.13650670504514095,-0.015140164233452325,0.2794115380580897
strict_donors_hagibis_recovery,recovery,09,0.09249558273323714,-0.018273981313396526,-0.08651164249542351
strict_donors_hagibis_recovery,recovery,10,0.04619990734614135,-0.12276988092257479,-0.09426766558508942
strict_donors_hagibis_recovery,recovery,11,0.048588276555043414,-0.03590620911393483,0.1433387160934763
strict_donors_hagibis_recovery,recovery,13,0.9532985492859116,1.0166778843404884,1.1482465247532725
strict_donors_hagibis_recovery,recovery,14,0.05048714170145092,0.03742678612482031,0.10094353610997314
