target_code,target,ym,actual_log,synthetic_log,gap_log
16,Toyama,201103,12.249563076604701,12.241886452144154,0.007676624460547288
16,Toyama,201104,12.275925147429007,12.29578651824838,-0.019861370819374002
16,Toyama,201105,12.532819168926933,12.619172477695159,-0.086353308768226
16,Toyama,201106,12.379857871301843,12.518109755251269,-0.138251883949426
16,Toyama,201107,12.657403009510288,12.811234894038368,-0.1538318845280795
16,Toyama,201108,13.049685151906344,13.197115044437219,-0.1474298925308748
16,Toyama,201109,12.777249912680906,12.744411025852036,0.03283888682886982
16,Toyama,201110,12.865094111360744,12.840348386669534,0.024745724691209503
16,Toyama,201111,12.656064875688415,12.68650369287594,-0.030438817187524947
16,Toyama,201112,12.489633738397652,12.490667777460887,-0.0010340390632350704
16,Toyama,201201,12.263303278984445,12.273559231705331,-0.010255952720886086
16,Toyama,201202,12.287376096594208,12.25851958646674,0.028856510127468482
16,Toyama,201203,12.34657344531774,12.496500558741857,-0.14992711342411802
16,Toyama,201204,12.39982857994979,12.419252734070993,-0.01942415412120191
16,Toyama,201205,12.593679235337024,12.621241920654306,-0.027562685317281677
16,Toyama,201206,12.386517442311268,12.471108366348057,-0.0845909240367888
16,Toyama,201207,12.765802712649768,12.625071729280606,0.14073098336916168
16,Toyama,201208,13.208889636743416,13.050418119905732,0.15847151683768423
16,Toyama,201209,12.778266144243311,12.59731136522982,0.18095477901349177
16,Toyama,201210,12.859204797551882,12.666747061996398,0.19245773555548418
16,Toyama,201211,12.64352079949139,12.616749943932435,0.02677085555895431
16,Toyama,201212,12.385682194820655,12.357032230764911,0.028649964055743382
16,Toyama,201301,12.265708543426047,12.290754244123939,-0.02504570069789125
16,Toyama,201302,12.377796578688848,12.33235504903511,0.045441529653738044
16,Toyama,201303,12.431932504338612,12.494748999533781,-0.06281649519516996
16,Toyama,201304,12.495116290621088,12.507813510512191,-0.012697219891103728
16,Toyama,201305,12.680535069559857,12.731698146347743,-0.05116307678788523
16,Toyama,201306,12.526306609275677,12.591760427517842,-0.06545381824216534
16,Toyama,201307,12.773032825839735,12.744056924460466,0.028975901379268976
16,Toyama,201308,13.115358903251446,13.098821268049294,0.01653763520215179
16,Toyama,201309,12.854745335988289,12.731974961480804,0.12277037450748551
16,Toyama,201310,12.894835227772296,12.811251192978693,0.08358403479360277
16,Toyama,201311,12.762368643340922,12.764358419413849,-0.00198977607292683
16,Toyama,201312,12.53609555847148,12.513049022717578,0.023046535753902475
16,Toyama,201401,12.242452789622924,12.344780118338981,-0.10232732871605776
16,Toyama,201402,12.266885484926686,12.268191806705227,-0.0013063217785411751
16,Toyama,201403,12.481277196470842,12.531335717842643,-0.05005852137180078
16,Toyama,201404,12.439562488898527,12.497195192529482,-0.057632703630954296
