unit_role,area_code,pre_rmspe,retained_max_gate,retained_min_gate
placebo,6209,0.079904624437371979,True,True
placebo,6210,0.249023106035096,True,True
placebo,6211,0.13453570830361838,True,True
placebo,6212,0.056250855995330973,True,True
placebo,6213,0.27726130845740987,True,False
placebo,6301,0.22681335534447106,True,True
placebo,6302,0.51520992070608451,True,False
placebo,6321,0.14288822921491082,True,True
placebo,6322,0.12303218937435009,True,True
placebo,6323,0.13178316454835298,True,True
placebo,6324,0.081682664341403727,True,True
placebo,6341,0.46600745493046269,True,False
placebo,6361,0.32642058123001633,True,False
placebo,6362,0.27100998266163329,True,False
placebo,6364,0.14589204761779942,True,True
placebo,6365,0.22890323048138669,True,True
placebo,6366,0.37698860933586281,True,False
placebo,6367,0.089525336505183781,True,True
placebo,6381,0.058643587438137849,True,True
placebo,6382,0.50634446132235233,True,False
placebo,6401,0.12980760891115953,True,True
placebo,6402,0.23775660194188908,True,True
placebo,6403,0.057258436335519435,True,True
placebo,6426,0.052999434633830382,True,True
placebo,6428,0.054722462158926441,True,True
placebo,6461,0.071666691553615477,True,True
placebo,7201,0.10408654866233706,True,True
placebo,7202,0.12084808136462948,True,True
placebo,7203,0.087420855208356074,True,True
placebo,7204,0.074177294559865575,True,True
placebo,7205,0.069178208783593584,True,True
placebo,7207,0.054215470778807569,True,True
placebo,7208,0.090563273192816596,True,True
placebo,7209,0.079175225489772474,True,True
placebo,7210,0.053089011088391772,True,True
placebo,7211,0.12289916753112154,True,True
placebo,7212,0.082971431375707103,True,True
placebo,7213,0.054106542166637649,True,True
placebo,7214,0.046318436600789124,True,True
placebo,7301,0.27041118417113597,True,False
placebo,7303,0.085263881353035115,True,True
placebo,7308,0.066665983943068399,True,True
placebo,7322,0.068302659929715376,True,True
placebo,7342,0.16013343159906474,True,True
placebo,7344,0.060744526728919702,True,True
placebo,7362,0.061095913623011096,True,True
placebo,7364,0.21973657927628809,True,True
placebo,7367,0.47079014685179754,True,False
placebo,7368,0.10721494246626559,True,True
placebo,7402,0.11652891873411481,True,True
placebo,7405,0.083799389640038871,True,True
placebo,7407,0.090094394467701844,True,True
placebo,7408,0.043209568000206505,True,True
placebo,7421,0.24914879391253331,True,True
placebo,7422,0.048842706017469199,True,True
placebo,7423,0.13033064584239953,True,True
placebo,7444,0.12193487507137706,True,True
