unit_role,area_code,donor_code,weight
placebo,1108,27106,0.031797822648357607
placebo,1108,28204,0.016312720686146174
placebo,1108,34103,0.042788444830985616
placebo,1108,34431,0.011115440773857342
placebo,1108,38402,0.07898105668795749
placebo,1109,1104,0.018122704862870629
placebo,1109,1229,0.081758506707127032
placebo,1109,1409,0.021941897386245201
placebo,1109,1461,0.0038993468850328987
placebo,1109,1635,0.15018755311422585
placebo,1109,2401,0.045908149136296934
placebo,1109,8223,0.011081286745502164
placebo,1109,13101,0.014981379894765754
placebo,1109,13105,0.11735162575484018
placebo,1109,13421,0.0058716335203982326
placebo,1109,14342,0.16133400126965503
placebo,1109,20309,0.14094775760714903
placebo,1109,20429,0.022351810600516258
placebo,1109,21421,0.0024858318741598183
placebo,1109,22219,0.065887651857914481
placebo,1109,40136,0.0080130426900347357
placebo,1109,46523,0.10727925743632497
placebo,1109,46524,0.02059656265694082
placebo,1110,1215,0.10230308628350958
placebo,1110,1220,0.09690419039035765
placebo,1110,1430,0.031627760453019321
placebo,1110,1635,0.0085872791944372646
placebo,1110,3506,0.083052883619363971
placebo,1110,4501,0.021223598810967054
placebo,1110,6361,0.0070985623316169727
placebo,1110,6362,0.02108628050695251
placebo,1110,8221,0.0052137541131165961
placebo,1110,8564,0.002339888560691407
placebo,1110,11301,0.036693918877137591
placebo,1110,13101,0.00091008001582850936
placebo,1110,21381,0.090886237316008811
placebo,1110,23228,0.0033066201726083379
placebo,1110,29427,0.1369377504095565
placebo,1110,29443,0.035512174842239591
placebo,1110,32526,0.037764468993203473
placebo,1110,33346,0.14732796543425877
placebo,1110,34103,0.0007784561624950792
placebo,1110,40349,0.014997050877252576
placebo,1110,41423,0.081088332841515051
placebo,1110,43216,0.034359659793863552
placebo,1202,1234,0.029242826045113191
placebo,1202,1331,0.15835055785342364
placebo,1202,1332,0.0016142480286011841
placebo,1202,1461,0.075853551325080079
placebo,1202,3501,0.058443071084111585
placebo,1202,12106,0.10632632235955049
placebo,1202,12227,0.19778037920278524
placebo,1202,13101,0.019950065054849815
placebo,1202,13401,0.0018698382404014142
placebo,1202,20220,0.19282273366163408
placebo,1202,27104,0.041120053683612837
placebo,1202,40133,0.046060823852745195
placebo,1202,47215,0.070565529608091565
placebo,1203,1104,0.01044597339469879
placebo,1203,1204,0.23724322689512467
placebo,1203,1210,0.055659393989670215
placebo,1203,1234,0.0066756602647987991
placebo,1203,1461,0.045991803102597026
placebo,1203,1578,0.064681023105180036
placebo,1203,1691,0.047584252507436572
placebo,1203,1694,0.0079065570299883675
placebo,1203,2401,0.032521107821966787
placebo,1203,6207,0.0067563082175436219
placebo,1203,12227,0.033032134220326956
placebo,1203,13101,0.046027241386653692
placebo,1203,13364,0.0031524528298102362
placebo,1203,19211,0.27482823800165201
placebo,1203,20201,0.012658193522363515
placebo,1203,20485,0.018348219399854288
placebo,1203,22344,0.03972396107991772
placebo,1203,27104,0.0053208549425442196
placebo,1203,28204,0.003879286825018982
placebo,1203,33101,0.036286887799462597
placebo,1203,40107,0.011277223663390949
placebo,1204,1101,0.24748223492206903
placebo,1204,1229,0.081207266367199535
placebo,1204,1455,0.010606202616696932
placebo,1204,1459,0.0069557479502036449
placebo,1204,1461,0.065890804744147907
placebo,1204,1464,0.0059435372408300057
placebo,1204,1545,0.03046737635601262
placebo,1204,1578,0.06663732721004155
placebo,1204,1635,0.009036067412107161
placebo,1204,1691,0.0038836495730620343
placebo,1204,2201,0.17496932358471057
placebo,1204,13101,0.12119639965237596
placebo,1204,21219,0.1465260114557595
placebo,1204,22344,0.029198050914783724
placebo,1205,1104,0.061128001450832241
placebo,1205,1110,0.015167207159749223
placebo,1205,1399,0.049289209952244867
placebo,1205,1481,0.031467599667846922
placebo,1205,1649,0.3618049425080902
placebo,1205,1694,0.029061064691109254
placebo,1205,3484,0.02775161357833995
